Title,Rating,Rating Count,Price,URL,Site
"MXZ High Performance Gaming PC, AMD Ryzen 5 7500F,GeForce RTX 4060, B650,16GB DDR5,1TB NVME, 5 RGB Fans, Windows 11 Pro Ready to use (R5 7500F| RTX 4060)",N/A,5,"1,199",https://www.newegg.com/p/3D5-002D-000C1,Newegg
HP OMEN 16L Gaming Desktop PC AMD Ryzen 5 16GB RAM 1TB SSD RX 7600 Windows 11 Home,N/A,N/A,878,https://www.newegg.com/p/3D5-0005-03ZC2,Newegg
"ViprTech Avalanche 2.0 Gaming PC Computer Desktop - AMD Ryzen 7 (4.1Ghz Turbo), AMD Radeon RX 580 8GB, 16GB DDR4 RAM, 500GB SSD, RGB, WiFi BT, White",N/A,19,624,https://www.newegg.com/viprtech-gaming-desktop-amd-radeon-rx-580-amd-ryzen-7-2700-32gb-ddr4-1tb-pcie-ssd-white/p/3D5-0034-00026,Newegg
Refurbished iBUYPOWER Slate Gaming Desktop Intel Core i7 14700F NVIDIA GeForce RTX 4060 32GB RAM 1TB NVMe SSD Windows 11 Home (SMI7N4601),N/A,4,999,https://www.newegg.com/p/3D5-0007-00J79,Newegg
"STGAubron Gaming Diamond Desktop, Intel Core i7 3.4 GHz up to 3.9 GHz, 16G RAM, 512G SSD, WiFi 6, BT 5.0, GTX 1660 Ti 6G GDDR6 Graphics, RGB Fan x 6, RGB Keyboard & Mouse, Windows 11 Home",N/A,N/A,599,https://www.newegg.com/stgaubron-gaming-desktop-pcs-nvidia-geforce-gtx-1660-ti-intel-core-i7-16gb-512gb-ssd-abr0222-black/p/3D5-0043-000Z5,Newegg
"ASUS TUF T500 (2025) Gaming Desktop PC, Intel® Core i5-13420H Processor, NVIDIA® GeForce RTX 3050, 512GB M.2 NVMe PCIe® 4 SSD, 16GB DDR5 RAM, Windows 11 Pro, T500MV-DS553",N/A,N/A,"1,128",https://www.newegg.com/p/3D5-000F-04YH5,Newegg
"Thermaltake LCGS Quartz R66 Gaming Desktop (AMD Ryzen 5 5600, ToughRam DDR4 3600Mhz 16GB RGB Memory, AMD Radeon RX 6600, 1TB NVMe M.2, Wifi, Windows 11) S2QT-B550-R66-LCS",N/A,N/A,909,https://www.newegg.com/thermaltake-gaming-desktop-pc-amd-radeon-rx-6600-amd-ryzen-5-5600-16gb-ddr4-1tb-ssd-lcgs-quartz-r66-black/p/N82E16883100093,Newegg
"Ibuypower Element SE Gaming Desktop PC (Intel i5-14400F, NVIDIA GeForce RTX 5060 8GB GDDR7, 16GB DDR5, 1TB PCIe SSD + 2TB HDD, Win 11 Home)",N/A,N/A,"1,249",https://www.newegg.com/p/3D5-0007-00JJ8,Newegg
Yeyian Gaming Desktop YPI-YA24F0B-46T1N Intel Core i5-12400F 16GB DDR4 1TB PCIe SSD GeForce RTX 4060 Ti Windows 11 Home 64-bit,N/A,2,"1,099",https://www.newegg.com/yeyian-gaming-desktop-geforce-rtx-4060-ti-intel-core-i5-12400f-16gb-ddr4-1tb-pcie-ssd-ypi-ya24f0b-46t1n-black/p/N82E16883630030,Newegg
YEAH MAGIC Astral S1 Gaming Desktop AMD Ryzen 5 5600GT (6 core up to 4.6GHz) 16GB DDR4 3200MHz 1TB NVMe SSD 650W Gold PSU Windows 11 Home WIFI Gaming PC with 7 ARGB Fans,rated 4.6 out of 5,5,649,https://www.newegg.com/p/1VK-02B4-00018,Newegg
Zalman Gaming Desktop | i7-12700KF | 16GB DDR4 | RTX 4060 8GB | 1TB NVMe | Zalman 3 Fans | WiFi 6E Built-in,N/A,N/A,"1,200",https://www.newegg.com/p/3D5-006R-000Z8,Newegg
"Periphio Reaper Gaming PC Computer - Complete Battlestation Bundle | AMD Ryzen 5 5600G, Radeon Vega 7 Graphics, 1TB NVMe Solid State, 16GB DDR4 RAM, Windows 11, NEW 24"" Monitor",N/A,N/A,894,https://www.newegg.com/p/3D5-0019-001E9,Newegg
"STGAubron Gaming PC Desktop Computer, Intel Core i7 up to 3.9GHz, Radeon RX 580 8G, 16G RAM, 512G SSD, WiFi 6, BT 5.0, RGB Fan x4, Windows 11 Home",N/A,N/A,599,https://www.newegg.com/stgaubron-gaming-desktop-pcs-amd-radeon-rx-580-intel-core-i7-4770-16gb-ddr3-512gb-ssd-abr0122-black/p/3D5-0043-00110,Newegg
"GenMachine Mini PC AMD Ryzen 5 5500U,16GB RAM 512GB M.2 NVMe SSD,AMD Radeon Graphics,2 x 4K Output, 2 x HDMI Ports,2 x USB 3.0,1 x Type-C,Wifi6,Bluetooth5.2,Windows 10 Pro Desktop Computer",N/A,2,379,https://www.newegg.com/genmachine-ren5000-barebone-systems-mini-pc-amd-ryzen-5-5500u/p/2SW-0090-00066,Newegg
YEAH MAGIC Astral  S1 Gaming Desktop AMD Ryzen 5 5600GT 3.9GHz 16GB(8G*2) DDR4 3200 1T NVME SSD 7 ARGB Fan*7 Win 11 Home WIFI Gamer Desktop Computer Office Work 650W Gold PSU Black,N/A,9,649,https://www.newegg.com/yeah-magic-gaming-desktop-radeon-graphics-amd-ryzen-5-5600gt-16gb-ddr4-1tb-ssd-black/p/3D5-0069-00029,Newegg
